country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Equatorial Guinea,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.26,-5.07
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.23,-5.07
Gabon,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-5.07
Gabon,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.34,-5.07
Ghana,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.05,-5.07
Ghana,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.22,-5.07
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,0.67,-5.07
Viet Nam,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.09,-5.07
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.11,-5.06
Iraq,Middle East,Satellite - downstream,Downstream,Oil,Daily LDAR,0.88,-5.06
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Other,0.01,-5.06
Peru,Central and South America,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.08,-5.05
Turkmenistan,Russia & Caspian,Offshore gas,Upstream,Gas,Annual LDAR,0.69,-5.05
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Annual LDAR,0.94,-5.05
Romania,Europe,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,8.14,-5.05
Romania,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,2.99,-5.05
China,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,8.12,-5.05
China,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,20.41,-5.05
China,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,97.71,-5.05
Congo,Africa,Offshore oil,Upstream,Oil,Replace with instrument air systems,8.62,-5.05
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-5.05
Other,Other,Offshore gas,Upstream,Gas,Replace with instrument air systems,0.04,-5.04
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.64,-5.03
United Arab Emirates,Middle East,Offshore oil,Upstream,Oil,Replace with instrument air systems,34.92,-5.03
Chad,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.07,-5.03
Malaysia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.12,-5.03
Malaysia,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.05,-5.02
Malaysia,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,2.28,-5.02
Kuwait,Middle East,Satellite - downstream,Downstream,Oil,Daily LDAR,0.08,-5.02
Kazakhstan,Russia & Caspian,Offshore oil,Upstream,Oil,Annual LDAR,0.44,-5.02
Kazakhstan,Russia & Caspian,Offshore gas,Upstream,Gas,Annual LDAR,0.1,-5.02
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-5.02
India,Asia Pacific,Downstream gas,Downstream,Gas,Quarterly LDAR,52.33,-5.02
India,Asia Pacific,Downstream oil,Downstream,Oil,Quarterly LDAR,14.36,-5.02
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,0.07,-5.02
Democratic Republic of Congo,Africa,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.63,-5.02
Australia,Asia Pacific,Unconventional gas,Upstream,Gas,Replace with instrument air systems,0.04,-5.02
Australia,Asia Pacific,Offshore gas,Upstream,Gas,Replace with instrument air systems,7,-5.02
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Continuous LDAR,16.9,-5.02
Turkmenistan,Russia & Caspian,Offshore gas,Upstream,Gas,Continuous LDAR,12.41,-5.02
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,2.73,-5.02
Thailand,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.15,-5.02
Philippines,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.03,-5.02
Philippines,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,0.11,-5.02
Other countries in Southeast Asia,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.13,-5.02
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,0.73,-5.02
Viet Nam,Asia Pacific,Downstream oil,Downstream,Oil,Annual LDAR,0.03,-5.02
Viet Nam,Asia Pacific,Downstream gas,Downstream,Gas,Annual LDAR,0.22,-5.02
South Africa,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,0.11,-5.01
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.6,-5.01
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.29,-5.01
Other EU7 countries,Europe,Offshore gas,Upstream,Gas,Vapour recovery units,0.29,-5
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Annual LDAR,0.01,-5
New Zealand,Asia Pacific,Offshore gas,Upstream,Gas,Annual LDAR,0.02,-5
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-4.99
Australia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.05,-4.99
Angola,Africa,Offshore oil,Upstream,Oil,Replace with instrument air systems,36.52,-4.99
Angola,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.03,-4.98
Angola,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,1.73,-4.98
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.39,-4.98
Botswana,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.98
Botswana,Africa,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.08,-4.98
Congo,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.94,-4.98
Congo,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.19,-4.98
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.45,-4.98
Cameroon,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.03,-4.98
Chad,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,3.96,-4.98
Ghana,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.69,-4.98
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,5.39,-4.98
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.15,-4.98
Sudan,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.58,-4.98
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,3.5,-4.98
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.67,-4.98
Mozambique,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.03,-4.98
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,1.74,-4.98
Niger,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.98
Niger,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.4,-4.98
Nigeria,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,37.66,-4.98
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,22.61,-4.98
Other,Other,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-4.97
Oman,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,23.47,-4.97
Oman,Middle East,Unconventional gas,Upstream,Gas,Continuous LDAR,8.73,-4.97
Oman,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,11.24,-4.97
Other countries in Europe,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,15.19,-4.97
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.72,-4.97
Tunisia,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.02,-4.97
Tunisia,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.02,-4.97
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,37.7,-4.97
United Arab Emirates,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,13.9,-4.97
Syria,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,14.48,-4.97
Syria,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,6.8,-4.97
Saudi Arabia,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,54.6,-4.97
Saudi Arabia,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,9.94,-4.97
Saudi Arabia,Middle East,Unconventional gas,Upstream,Gas,Continuous LDAR,1.22,-4.97
Qatar,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.85,-4.97
Qatar,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,5.99,-4.97
Egypt,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.31,-4.97
Egypt,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.92,-4.97
Jordan,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.11,-4.97
Jordan,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.02,-4.97
Jordan,Middle East,Unconventional gas,Upstream,Gas,Continuous LDAR,0.01,-4.97
Kuwait,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,5.72,-4.97
Kuwait,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,45.59,-4.97
Libya,Africa,Offshore gas,Upstream,Gas,Annual LDAR,0.08,-4.97
Libya,Africa,Offshore oil,Upstream,Oil,Annual LDAR,0.08,-4.97
Iraq,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,83,-4.97
Iraq,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,3.16,-4.97
Iran,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,122.84,-4.97
Iran,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,22.71,-4.97
Italy,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,0.56,-4.97
Italy,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.1,-4.97
Colombia,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,9.39,-4.97
Colombia,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,2.19,-4.97
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,7.72,-4.97
Bahrain,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,4.24,-4.97
Yemen,Middle East,Onshore conventional gas,Upstream,Gas,Continuous LDAR,0.04,-4.97
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Continuous LDAR,7.12,-4.97
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Continuous LDAR,4.62,-4.97
Uzbekistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Continuous LDAR,36.97,-4.97
Botswana,Africa,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.03,-4.96
China,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,10,-4.96
China,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,17.91,-4.96
China,Asia Pacific,Unconventional gas,Upstream,Gas,Vapour recovery units,100.85,-4.95
India,Asia Pacific,Downstream oil,Downstream,Oil,Replace with electric motor,36.08,-4.95
Poland,Europe,Offshore oil,Upstream,Oil,Vapour recovery units,0.25,-4.95
Poland,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,1.82,-4.95
Poland,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.12,-4.95
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.06,-4.95
Turkmenistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,19.23,-4.95
Turkmenistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,160.91,-4.95
Other,Other,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.21,-4.95
Other,Other,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.02,-4.95
Ecuador,Central and South America,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.14,-4.94
Other countries in Europe,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.02,-4.93
Poland,Europe,Offshore oil,Upstream,Oil,Other,0.01,-4.93
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Continuous LDAR,19.34,-4.92
Israel,Europe,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.04,-4.92
Indonesia,Asia Pacific,Offshore oil,Upstream,Oil,Continuous LDAR,4.68,-4.92
Kazakhstan,Russia & Caspian,Offshore oil,Upstream,Oil,Continuous LDAR,7.89,-4.92
Kazakhstan,Russia & Caspian,Offshore gas,Upstream,Gas,Continuous LDAR,1.74,-4.92
Kazakhstan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,10.08,-4.91
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,26.25,-4.91
Guyana,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.4,-4.91
Ecuador,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.01,-4.91
Ecuador,Central and South America,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-4.91
Cuba,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.01,-4.91
Argentina,Central and South America,Offshore gas,Upstream,Gas,Annual LDAR,0.27,-4.91
Argentina,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.05,-4.91
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-4.91
Trinidad and Tobago,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.06,-4.91
Trinidad and Tobago,Central and South America,Offshore gas,Upstream,Gas,Annual LDAR,0.54,-4.91
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Replace with instrument air systems,12.74,-4.91
Ukraine,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,2.52,-4.91
Peru,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.01,-4.91
Venezuela,Central and South America,Offshore gas,Upstream,Gas,Annual LDAR,0.54,-4.91
Venezuela,Central and South America,Offshore oil,Upstream,Oil,Annual LDAR,0.91,-4.91
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.66,-4.9
Other EU17 countries,Europe,Unconventional gas,Upstream,Gas,Continuous LDAR,0.28,-4.9
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,1.94,-4.9
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,1.16,-4.9
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-4.9
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-4.9
Denmark,Europe,Offshore oil,Upstream,Oil,Annual LDAR,0.02,-4.9
Denmark,Europe,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-4.9
Libya,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.63,-4.9
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.17,-4.89
Poland,Europe,Offshore gas,Upstream,Gas,Vapour recovery units,0.01,-4.89
Slovenia,Europe,Downstream gas,Downstream,Gas,Annual LDAR,0.02,-4.89
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,2.03,-4.89
Tunisia,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.63,-4.88
Tunisia,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.82,-4.88
Morocco,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.02,-4.88
Egypt,Africa,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.37,-4.88
Egypt,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,2.92,-4.88
Egypt,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,10.02,-4.88
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.09,-4.88
Libya,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,37.21,-4.88
Libya,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,2.33,-4.88
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Biannual LDAR,0.08,-4.88
Algeria,Africa,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,68.7,-4.88
Algeria,Africa,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.79,-4.88
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,62.97,-4.88
Australia,Asia Pacific,Onshore conventional gas,Upstream,Gas,Biannual LDAR,0.1,-4.88
Australia,Asia Pacific,Unconventional gas,Upstream,Gas,Biannual LDAR,2.15,-4.88
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Blowdown capture,0.53,-4.87
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.23,-4.87
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-4.87
United Kingdom,Europe,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-4.87
Australia,Asia Pacific,Offshore oil,Upstream,Oil,Replace with instrument air systems,1.66,-4.86
Kuwait,Middle East,Offshore oil,Upstream,Oil,Annual LDAR,0.1,-4.85
Iran,Middle East,Offshore gas,Upstream,Gas,Annual LDAR,6.25,-4.85
Iran,Middle East,Offshore oil,Upstream,Oil,Annual LDAR,2.8,-4.85
India,Asia Pacific,Unconventional gas,Upstream,Gas,Replace pumps,0.94,-4.85
India,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace pumps,1.88,-4.85
Ukraine,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,2.57,-4.85
United Arab Emirates,Middle East,Offshore gas,Upstream,Gas,Annual LDAR,0.52,-4.85
United Arab Emirates,Middle East,Offshore oil,Upstream,Oil,Annual LDAR,2.57,-4.85
Thailand,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.06,-4.85
Slovenia,Europe,Downstream gas,Downstream,Gas,Biannual LDAR,0.06,-4.85
Slovenia,Europe,Downstream oil,Downstream,Oil,Biannual LDAR,0.01,-4.85
Saudi Arabia,Middle East,Offshore oil,Upstream,Oil,Annual LDAR,2.34,-4.85
Saudi Arabia,Middle East,Offshore gas,Upstream,Gas,Annual LDAR,0.42,-4.85
Qatar,Middle East,Offshore gas,Upstream,Gas,Annual LDAR,3.33,-4.85
Qatar,Middle East,Offshore oil,Upstream,Oil,Annual LDAR,1.1,-4.85
Other,Other,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.23,-4.85
Other,Other,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.13,-4.85
Other,Other,Offshore oil,Upstream,Oil,Replace with instrument air systems,0.04,-4.84
South Africa,Africa,Downstream oil,Downstream,Oil,Replace with electric motor,2.06,-4.84
Congo,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-4.84
Brazil,Central and South America,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.12,-4.83
Brunei,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-4.83
Brazil,Central and South America,Downstream gas,Downstream,Gas,Quarterly LDAR,12.3,-4.83
Brazil,Central and South America,Downstream oil,Downstream,Oil,Quarterly LDAR,2.75,-4.83
Other,Other,Onshore conventional oil,Upstream,Oil,Continuous LDAR,1.23,-4.83
Other,Other,Onshore conventional gas,Upstream,Gas,Continuous LDAR,5.89,-4.83
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,1.81,-4.83
Other EU7 countries,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,4.43,-4.83
Other EU7 countries,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.51,-4.83
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.03,-4.83
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.02,-4.82
Viet Nam,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.01,-4.82
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,119.78,-4.81
Venezuela,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,26.45,-4.81
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.07,-4.81
Other,Other,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.81
Other,Other,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.62,-4.81
Other,Other,Offshore oil,Upstream,Oil,Continuous LDAR,0.01,-4.81
Peru,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.81,-4.81
Peru,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,8.34,-4.81
Other,Other,Offshore gas,Upstream,Gas,Continuous LDAR,0.22,-4.81
Trinidad and Tobago,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.44,-4.81
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.52,-4.81
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,1.57,-4.81
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,6.48,-4.81
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,13.8,-4.81
Argentina,Central and South America,Unconventional gas,Upstream,Gas,Quarterly LDAR,41.31,-4.81
Argentina,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,6.79,-4.81
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Quarterly LDAR,32.03,-4.81
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.6,-4.81
Cuba,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.31,-4.81
Ecuador,Central and South America,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.06,-4.81
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,19.36,-4.81
Italy,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.05,-4.81
Democratic Republic of Congo,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-4.79
Other EU17 countries,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,1.02,-4.79
Other,Other,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.02,-4.79
Poland,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.65,-4.78
Other,Other,Offshore gas,Upstream,Gas,Annual LDAR,0.01,-4.77
Estonia,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.02,-4.76
Romania,Europe,Onshore conventional gas,Upstream,Gas,Vapour recovery units,6.2,-4.75
Angola,Africa,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.02,-4.74
Romania,Europe,Onshore conventional gas,Upstream,Gas,Continuous LDAR,8.69,-4.73
Romania,Europe,Onshore conventional oil,Upstream,Oil,Continuous LDAR,3.19,-4.73
Slovenia,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,0.04,-4.73
Malaysia,Asia Pacific,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.03,-4.73
Poland,Europe,Unconventional gas,Upstream,Gas,Vapour recovery units,0.5,-4.72
Brazil,Central and South America,Onshore conventional gas,Upstream,Gas,Replace pumps,0.68,-4.72
South Africa,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,0.16,-4.71
Norway,Europe,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.36,-4.71
Other,Other,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.01,-4.71
India,Asia Pacific,Offshore gas,Upstream,Gas,Other,1.1,-4.7
Iran,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,115.16,-4.69
Iraq,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,2.96,-4.69
Iraq,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,77.82,-4.69
Iran,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,21.29,-4.69
Kuwait,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,42.74,-4.69
Kuwait,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,5.36,-4.69
Jordan,Middle East,Unconventional gas,Upstream,Gas,Quarterly LDAR,0.01,-4.69
Jordan,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.02,-4.69
Jordan,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,0.1,-4.69
Bahrain,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,3.97,-4.69
Bahrain,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,7.24,-4.69
Other EU17 countries,Europe,Downstream oil,Downstream,Oil,Replace with electric motor,9.27,-4.69
Oman,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,10.54,-4.69
Oman,Middle East,Unconventional gas,Upstream,Gas,Quarterly LDAR,8.18,-4.69
Oman,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,22,-4.69
Syria,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,6.38,-4.69
Syria,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,13.58,-4.69
Saudi Arabia,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,51.18,-4.69
Saudi Arabia,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,9.32,-4.69
Saudi Arabia,Middle East,Unconventional gas,Upstream,Gas,Quarterly LDAR,1.15,-4.69
Qatar,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.8,-4.69
Qatar,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,5.61,-4.69
United Arab Emirates,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,35.35,-4.69
United Arab Emirates,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,13.03,-4.69
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,4.33,-4.69
Uzbekistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,34.66,-4.69
Yemen,Middle East,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,0.04,-4.69
Yemen,Middle East,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,6.68,-4.69
Japan,Asia Pacific,Onshore conventional gas,Upstream,Gas,Replace with electric motor,0.45,-4.68
Indonesia,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.69,-4.67
Indonesia,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,6.57,-4.67
Bangladesh,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,5.32,-4.67
Bangladesh,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.05,-4.67
Pakistan,Asia Pacific,Downstream gas,Downstream,Gas,Biannual LDAR,9.86,-4.67
Pakistan,Asia Pacific,Downstream oil,Downstream,Oil,Biannual LDAR,0.27,-4.67
Indonesia,Asia Pacific,Offshore gas,Upstream,Gas,Replace compressor seal or rod,0.06,-4.66
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Blowdown capture,0.33,-4.66
